#FIELDS:
# 1. Newbase-id
# 2. Newbase-name
1;Pressure
2;GeopHeight
3;GeomHeight
4;Temperature
5;MaximumTemperature
6;MinimumTemperature
7;TemperatureAnomaly
8;PotentialTemperature
9;PseudoAdiabaticPotentialTemperature
10;DewPoint
11;DewPointDeficit
12;SpecificHumidity
13;Humidity
14;MixingRatio
15;StabilityIndex
16;SaturationDeficit
17;TopoGraf
19;TotalWindMS
20;WindDirection
21;WindSpeedMS
22;WindVectorMS
23;WindUMS
24;WindVMS
25;WindGustU
26;WindGustV
28;HeightMinus20C
29;StreamFunction
30;VorticityRelative
31;VorticityAbsolute
32;VorticityAdvectionRelative
33;VorticityAdvectionAbsolute
34;VelocityDivergenceHoriz
35;MoistureDivergenceHoriz
36;VorticityGeostrophic
37;VorticityAdvectionGeostr
39;VelocityPotential
40;VerticalVelocityCBS
41;VerticalVelocityCB12H
42;VerticalVelocityHPAH
43;VerticalVelocityMMS
44;WindShearMS
45;WindShearKT
46;LapseRate
47;PrecipitableWater
48;PrecipitationConv
49;PrecipitationRate
50;PrecipitationAmount
51;SnowDepth
52;RadiationOutLW
53;RadiationOutSW
54;RadiationInSW
55;PrecipitationLarge
56;PrecipitationType
57;PrecipitationForm
58;GolfIndex
59;CAPE
60;SeaLevel
61;TemperatureSea
62;Salinity
63;Density
64;SeaLevelMinimum
65;SeaLevelMaximum
66;CIN
67;Helicity
68;LCL
69;LNB
79;TotalCloudCover
80;KIndex
81;RoadT1Derivative
82;RoadT2Derivative
83;FreezingPoint1
84;FreezingPoint2
85;Conductivity1
86;Conductivity2
87;SensorFault
88;SaltSpread1
89;SaltSpread2
90;SaltConcentration1
91;SaltConcentration2
92;RoadStatus
93;Friction3
94;WaterContent
95;SnowContent
96;IceContent
101;Thickness
108;RadarBorder
109;RadarProducer
110;RadarParameter
111;RadarLevelType
112;ElevationAngle
113;CAPPIHeight
114;RadarRadius
115;RadarLayer
116;AzimuthalLayer
117;CrossSectionDirection
118;AccumulationTime
119;MindBZ
120;MinRange
121;MaxRange
122;ColumnNumber
123;RowNumber
124;HorizontalResolution
125;ZResolution
126;CorrectedReflectivity
127;EchoTop
128;RainfallDepth
129;RawRadarData
130;RadialWind
131;WindAndReflectivity
132;MaxLayerHeight
133;MaxElevation
134;ProjectionID
135;GridOrientation
139;VelocityPotentialM2S
140;VerticalVelocityHPAS
141;VerticalVelocityDPAS
143;VerticalVelocityMS
144;WindShearMS2
145;LogNatOfPressure
146;LapseRate2
147;PrecipitableWater2
148;PrecipitationRate2
150;PrecipitationAmount2
151;SnowDepth2
152;RadiationOutLW2
153;RadiationOutSW2
154;RadiationInSW2
155;BatteryVoltage
160;SeaLevelAnomaly
161;TemperatureSea2
162;TemperatureSeaSurface
163;CurrentSpeed
164;CurrentDirection
165;SigWaveHeight
166;SigWavePeriod
167;WaveDirection
168;WaveSpread
169;MaxWaveHeight
170;MaxWavePeriod
171;WavePeriod
172;SigWaveHeightBandB
173;SigWavePeriodBandB
174;WaveDirectionBandB
175;SigWaveHeightBandC
176;SigWavePeriodBandC
177;WaveDirectionBandC
178;UnidirectivityIndex
179;SigWaveLength
180;MixedLayerDepth
181;SigWaveHeightSwell0
182;SigWaveHeightSwell1
183;SigWaveHeightSwell2
184;SigWavePeriodSwell0
185;SigWavePeriodSwell1
186;SigWavePeriodSwell2
187;WaveDirectionSwell0
188;WaveDirectionSwell1
189;WaveDirectionSwell2
190;SeaSprayIcing
191;NO2Contents
192;COContents
193;SO2Contents
194;AQIndex
195;SmogIndex
196;UVIndexMax
197;UVIndex
198;OzoneAnomaly
200;PrecipitationRateLarge
201;PrecipitationRateConv
202;PressureReduced
203;PressureTendency
204;NOContents
205;O3Contents
206;PM10Contents
207;PM25Contents
212;TemperatureVirtual
220;SnowWarning
226;PressureAnomaly
227;GeopotentialHeightAnomaly
235;SkinTemperature
236;FeelsLike
239;OpenLandSnowDepth
240;TOL
241;QOL
242;DivergenceAbsolute
244;DivergenceRelative
245;WindShearU
246;WindShearV
255;VapourPressure
256;DragCoefficient
257;Evaporation
259;PoP
260;ProbabilityThunderstorm
261;FlashAccuracy
262;FlashMultiplicity
263;FlashStrength
264;SnowfallRate
265;SnowAccumulation
266;WaterEquivalentOfSnow
267;WaterAccumulation
268;SnowWaterRatio
270;FreezingLevel
271;MiddleAndLowCloudCover
272;ConvectiveCloudCover
273;LowCloudCover
274;MediumCloudCover
275;HighCloudCover
276;CloudWater
278;ConvectiveSnow
279;LargeScaleSnow
281;LandSeaMask
282;ForestFraction
283;SurfaceRoughness
284;Albedo
285;SoilTemperature
286;SoilMoistureContent
287;Vegetation
288;GroundTemperature
289;SurfaceSoilWetness
290;LocationId
291;Year
292;Month
293;Day
294;Hour
295;Minute
296;Second
297;ForecastPeriod
298;ModelLevel
299;CloudCondensate
301;TurbulentKineticEnergy
305;FlashLength
306;FlashWidth
307;FlashDirection
308;FlashDuration
311;RadiationNetSurfaceSW
312;RadiationNetSurfaceLW
313;RadiationNetTopAtmSW
